id,user_id
1668827,122635.0
1668826,120173.0
1668825,120173.0
1668823,120173.0
1668819,122218.0
1668763,122632.0
1668727,122631.0
1668723,122630.0
1668717,122630.0
1668703,122627.0
1668695,122607.0
1668662,122607.0
1668656,95721.0
1668607,86793.0
1668545,122622.0
1668497,122622.0
1668427,122450.0
1668424,122616.0
1668418,122620.0
1668416,122616.0
1668413,122620.0
1668379,90618.0
1668368,92000.0
1668357,92000.0
1668355,92000.0
1668344,111625.0
1668223,119838.0
1668212,122617.0
1668190,92710.0
1668146,87143.0
1668130,79277.0
1668079,118899.0
1668046,92710.0
1668027,94494.0
1667983,122011.0
1667982,122011.0
1667979,122011.0
1667976,122011.0
1667972,122011.0
1667971,122011.0
1667968,122011.0
1667964,111625.0
1667927,122592.0
1667851,122609.0
1667810,1244.0
1667809,1244.0
1667808,1244.0
1667807,1244.0
1667806,1244.0
1667805,1244.0
1667804,1244.0
1667803,122607.0
1667792,122606.0
1667791,122606.0
1667789,122606.0
1667785,122606.0
1667767,117047.0
1667766,117047.0
1667764,117047.0
1667763,117047.0
1667762,117047.0
1667760,117047.0
1667757,117047.0
1667755,117047.0
1667754,117047.0
1667613,122602.0
1667610,122602.0
1667568,97625.0
1667565,122569.0
1667564,122569.0
1667563,122569.0
1667561,122569.0
1667560,122569.0
1667559,122569.0
1667558,122569.0
1667557,122569.0
1667556,122569.0
1667555,122569.0
1667554,122569.0
1667553,122569.0
1667552,122569.0
1667551,122569.0
1667550,122569.0
1667548,122569.0
1667547,122569.0
1667545,122569.0
1667544,122569.0
1667543,122569.0
1667542,122569.0
1667538,122569.0
1667534,122569.0
1667530,122569.0
1667529,122569.0
1667525,122569.0
1667417,122597.0
1667414,122597.0
1667403,122597.0
1667380,122576.0
1667355,122592.0
1667327,122591.0
1667317,122591.0
1667306,122590.0
1667305,122590.0
1667303,122590.0
1667267,122589.0
1667244,122586.0
1667237,122586.0
1667219,122586.0
1667197,122584.0
1667184,122375.0
1667172,122584.0
1667170,122584.0
1667169,122584.0
1667132,114205.0
1667130,114205.0
1667116,122580.0
1667115,122580.0
1667114,122580.0
1667112,122580.0
1667076,122576.0
1667068,122577.0
1667067,122576.0
1667062,122576.0
1667061,122576.0
1667054,122576.0
1667051,122576.0
1667050,122576.0
1667043,122576.0
1667033,122575.0
1667031,122575.0
1667027,122375.0
1667017,122575.0
1667015,122575.0
1666998,122575.0
1666958,96002.0
1666943,122015.0
1666909,122571.0
1666882,119205.0
1666877,119205.0
1666867,122569.0
1666866,122569.0
1666848,122567.0
1666847,122567.0
1666837,122567.0
1666791,122565.0
1666789,122565.0
1666786,122565.0
1666755,122559.0
1666735,122437.0
1666733,117193.0
1666730,118098.0
1666715,122561.0
1666714,122561.0
1666703,122561.0
1666699,122561.0
1666674,119993.0
1666667,122533.0
1666658,122440.0
1666634,122377.0
1666628,122557.0
1666626,122558.0
1666623,122557.0
1666622,122557.0
1666617,122557.0
1666614,122557.0
1666610,122557.0
1666602,122557.0
1666597,122557.0
1666594,122557.0
1666591,122557.0
1666581,122557.0
1666544,122556.0
1666541,122556.0
1666534,122556.0
1666495,121460.0
1666494,121460.0
1666491,121460.0
1666472,122553.0
1666466,122553.0
1666462,122553.0
1666446,103140.0
1666405,17515.0
1666389,122548.0
1666355,55262.0
1666334,122545.0
1666332,122545.0
1666290,122540.0
1666289,122540.0
1666279,122540.0
1666276,122540.0
1666274,122540.0
1666267,122540.0
1666200,122533.0
1666199,122533.0
1666190,122533.0
1666189,122533.0
1666186,122533.0
1666185,122533.0
1666180,122533.0
1666178,122533.0
1666115,122536.0
1666112,122536.0
1666106,122536.0
1666096,122534.0
1666094,122535.0
1666091,122533.0
1666090,122533.0
1666089,122534.0
1666082,122533.0
1666080,122533.0
1666075,122533.0
1666072,122534.0
1666057,122533.0
1666013,105367.0
1666000,96041.0
1665998,121087.0
1665996,121087.0
1665995,121087.0
1665985,122530.0
1665972,17109.0
1665970,17109.0
1665967,122530.0
1665946,115086.0
1665931,84877.0
1665923,105367.0
1665921,84877.0
1665918,105367.0
1665917,84877.0
1665914,105367.0
1665909,105367.0
1665906,105367.0
1665903,105367.0
1665900,84877.0
1665889,122527.0
1665888,122527.0
1665885,114580.0
1665883,122527.0
1665882,114580.0
1665880,114580.0
1665876,122527.0
1665875,122527.0
1665871,114580.0
1665869,114580.0
1665859,122527.0
